,name,name2,position
62,Andrea Petagna,andrea petagna,FW
63,Felipe Caicedo,felipe caicedo,FW
64,Diego Farias,diego faras,FW
65,Leonardo Pavoletti,leonardo pavoletti,FW
66,Keita Baldé,keita balde,FW
67,Gastón Ramírez,gaston ramirez,FW
68,Aleksey Miranchuk,aleksey miranchuk,FW
69,Miha Zajc,miha zajc,FW
70,Gregoire Defrel,gregory defrel,FW
71,Giovanni Simeone,giovanni simone,FW
72,Federico Bernardeschi,federico bernardeschi,FW
73,Goran Pandev,goran pandev,FW
74,Valerio Verre,valerio verre,FW
75,Simone Zaza,simone zaza,FW
76,Kevin Lasagna,kevin lasagna,FW
77,Eddie Salcedo,eddie saltedo,FW
78,Roberto Piccoli,roberto piccoli,FW
79,Ilija Nestorovski,ilija nestorovski,FW
80,Marko Pjaca,marko pjaca,FW
81,Nikola Kalinic,nikola kalinic,FW
82,José Callejón,jose callejon,FW
83,Federico Bonazzoli,federico bonazzoli,FW
84,Fernando Forestieri,fernando forestieri,FW
85,Vedat Muriqi,vedat muriqi,FW
86,Marco Sau,marco sau,FW
87,Alberto Cerri,alberto cerri,FW
88,Emmanuel Rivière,emmanuel riviere,FW
89,Christian Kouamé,christian kouame,FW
0,Domenico Berardi,domenico berardi,FW
1,Dusan Vlahovic,dusan vlahovic,FW
2,Ciro Immobile,ciro immobile,FW
3,Paulo Dybala,paulo dybala,FW
4,Rafael Leão,rafael leao,FW
5,Juan Cuadrado,juan cuadrado,FW
6,Gianluca Caprari,gianluca capriri,FW
7,Hakan Calhanoglu,hakan calhanoğlu,FW
8,Tammy Abraham,tammy abraham,FW
9,Victor Osimhen,victor osimhen,FW
10,Edin Dzeko,edin dzeko,FW
11,Ivan Perisic,ivan perisic,FW
12,Duván Zapata,duvan zapata,FW
13,Luis Muriel,luis muriel,FW
14,Nicolás González,nicolas gonzalez,FW
15,Felipe Anderson,felipe anderson,FW
16,Lautaro Martínez,lautaro martinez,FW
17,Gerard Deulofeu,gerard deulofeu,FW
18,Mattia Zaccagni,mattia zaccagni,FW
19,Lorenzo Insigne,lorenzo insignia,FW
20,Henrikh Mkhitaryan,henrikh mkhitaryan,FW
21,Ruslan Malinovskyi,ruslan malinovskyi,FW
22,Luis Alberto,luis alberto,FW
23,Olivier Giroud,oliver giroud,FW
24,Zlatan Ibrahimovic,zlatan ibrahimovic,FW
25,Pedro,pedro,FW
26,Giovanni Simeone,giovanni simone,FW
27,Junior Messias,junior messiah,FW
28,Josip Ilicic,josip ilicic,FW
29,Milan Djuric,milan djuric,FW
30,Beto,concrete,FW
31,Álvaro Morata,alvaro morata,FW
32,Marko Arnautovic,marko arnautovic,FW
33,Josip Brekalo,josip brekalo,FW
34,Gianluca Scamacca,gianluca scamacca,FW
35,Giacomo Raspadori,giacomo raspadori,FW
36,João Pedro,joão pedro,FW
37,Dries Mertens,dries mertens,FW
38,Francesco Caputo,francesco caputo,FW
39,Andrea Pinamonti,andrea pinamonti,FW
40,Manolo Gabbiadini,manolo gabbiadini,FW
41,Hirving Lozano,hirving lozano,FW
42,Nicolò Zaniolo,nicolo zaniolo,FW
43,Musa Barrow,musa barrow,FW
44,Riccardo Orsolini,riccardo orsolini,FW
45,Alexis Sánchez,alexis sanchez,FW
46,Aleksey Miranchuk,aleksey miranchuk,FW
47,Andrea Belotti,andrea belotti,FW
48,Joaquín Correa,joaquin correa,FW
49,Mattia Destro,mattia destro,FW
50,Federico Bernardeschi,federico bernardeschi,FW
51,Matteo Politano,matteo politano,FW
52,Antonio Sanabria,antonio sanabria,FW
53,Roberto Pereyra,roberto pereira,FW
54,Emmanuel Gyasi,emmanuel gyasi,FW
55,Stephan El Shaarawy,stephan el shaarawy,FW
56,David Okereke,david okereke,FW
57,Thomas Henry,thomas henry,FW
58,Federico Di Francesco,federico difrancesco,FW
59,Kevin Agudelo,kevin agudelo,FW
60,Marko Pjaca,marko pjaca,FW
61,Leonardo Pavoletti,leonardo pavoletti,FW
62,Isaac Success,isaac success,FW
63,Rey Manaj,rey manaj,FW
64,Ignacio Pussetto,ignacio pussetto,FW
65,Federico Bonazzoli,federico bonazzoli,FW
66,Ante Rebic,ante rebic,FW
67,Dejan Kulusevski,dejan kulusevski,FW
68,Gastón Pereiro,gaston pereiro,FW
69,Nicola Sansone,nicholas sansone,FW
70,Franck Ribéry,franck ribery,FW
71,Caleb Ekuban,caleb ekuban,FW
72,José Callejón,jose callejon,FW
73,Fabio Quagliarella,fabio quagliarella,FW
74,Moise Kean,moise kean,FW
75,Keita Baldé,keita balde,FW
76,Eldor Shomurodov,eldor shomurodov,FW
77,M'Bala Nzola,m'bala nzola,FW
78,Kevin Lasagna,kevin lasagna,FW
79,Andrea Petagna,andrea petagna,FW
80,Gregoire Defrel,gregory defrel,FW
81,Patrick Cutrone,patrick cutrone,FW
82,Dennis Johnsen,dennis johnsen,FW
83,Simy,simy,FW
84,Goran Pandev,goran pandev,FW
0,James Rodríguez,james rodriguez,FW
1,Daniel Caligiuri,daniel caligiuri,FW
2,Robert Lewandowski,robert lewandowski,FW
3,Serge Gnabry,serge gnabry,FW
4,Leon Bailey,leon bailey,FW
5,Arjen Robben,arjen robben,FW
6,Thomas Müller,thomas müller,FW
7,Lars Stindl,lars stindle,FW
8,Kingsley Coman,kingsley coman,FW
9,Caiuby,caiuby,FW
10,Maximilian Philipp,maximilian philip,FW
11,Marcel Sabitzer,marcel sabitzer,FW
12,Alfred Finnbogason,alfred finnbogason,FW
13,Thorgan Hazard,thorgan hazard,FW
14,Ihlas Bebou,ihlas bebou,FW
15,Raffael,raphael,FW
16,Michael Gregoritsch,michael gregorych,FW
17,Niclas Füllkrug,niclas filling jug,FW
18,Mark Uth,mark uth,FW
19,Andrej Kramaric,andrei kramaric,FW
20,Christian Pulisic,christian pulisic,FW
21,Kai Havertz,kai havertz,FW
22,Franck Ribéry,franck ribery,FW
23,Davie Selke,davie selke,FW
24,Kevin Volland,kevin volland,FW
25,Julian Brandt,julian brandt,FW
26,Max Kruse,max kruse,FW
27,Ante Rebic,ante rebic,FW
28,Sébastien Haller,sebastien haller,FW
29,Nils Petersen,nils petersen,FW
30,Lucas Alario,lucas alario,FW
31,Amine Harit,amine harit,FW
32,Timo Werner,timo werner,FW
33,Jean-Kévin Augustin,jean kevin augustin,FW
34,Mario Götze,mario götze,FW
35,Anastasios Donis,anastasios donis,FW
36,Emil Forsberg,emil forsberg,FW
37,Kevin-Prince Boateng,kevin prince boateng,FW
38,Janik Haberer,janik haberer,FW
39,Andriy Yarmolenko,andriy yarmolenko,FW
40,Aaron Hunt,aaron hunt,FW
41,Guido Burgstaller,guido burgstaller,FW
42,Daniel Didavi,daniel didavi,FW
43,Max Meyer,max meyer,FW
44,André Schürrle,andré schürrle,FW
45,Yevhen Konoplyanka,yevhen konoplyanka,FW
46,Salomon Kalou,solomon kalou,FW
47,Yoshinori Muto,yoshinori muto,FW
48,Yunus Malli,yunus malli,FW
49,Leonardo Bittencourt,leonardo bittencourt,FW
50,Daniel Ginczek,daniel ginczek,FW
51,Vladimír Darida,vladimir darida,FW
52,Ádám Szalai,adam szalai,FW
53,Tim Kleindienst,tim kleindienst,FW
54,Filip Kostic,filip kostic,FW
55,Martin Harnik,martin harnik,FW
56,Yussuf Poulsen,yusuf poulsen,FW
57,Ishak Belfodil,ishak belfodil,FW
58,Divock Origi,divock origi,FW
59,Karim Bellarabi,karim bellarabi,FW
60,Vedad Ibisevic,vedad ibisevic,FW
61,Luka Jovic,luke jovic,FW
62,Franco Di Santo,franco di santo,FW
63,André Hahn,andre hahn,FW
64,Robin Quaison,robin quaison,FW
65,Patrick Herrmann,patrick herrman,FW
66,Marco Terrazzino,marco terrazzino,FW
67,Yuya Osako,yuya osako,FW
68,Breel Embolo,breel embolo,FW
69,Alexandru Maxim,alexandru maxim,FW
70,Simon Zoller,simon zoller,FW
71,Bobby Wood,bobby wood,FW
72,Ondrej Duda,ondrej duda,FW
73,Jann-Fiete Arp,jann-fiete arp,FW
74,Kenan Karaman,kenankaraman,FW
75,Jhon Córdoba,john cordoba,FW
76,Gian-Luca Waldschmidt,gian luca waldschmidt,FW
77,Florian Kath,florian kath,Forward
78,Sergio Córdova,sergio cordova,FW
79,Landry Dimata,landry dimata,FW
0,Robert Lewandowski,robert lewandowski,FW
1,Sébastien Haller,sebastien haller,FW
2,Thorgan Hazard,thorgan hazard,FW
3,Marco Reus,marco reus,FW
4,Kingsley Coman,kingsley coman,FW
5,Ishak Belfodil,ishak belfodil,FW
6,Kevin Volland,kevin volland,FW
7,Daniel Caligiuri,daniel caligiuri,FW
8,Yussuf Poulsen,yusuf poulsen,FW
9,Filip Kostic,filip kostic,FW
10,Julian Brandt,julian brandt,FW
11,Kai Havertz,kai havertz,FW
12,Wout Weghorst,wout weghorst,FW
13,James Rodríguez,james rodriguez,FW
14,Max Kruse,max kruse,FW
15,Joelinton,joelinton,FW
16,Thomas Müller,thomas müller,FW
17,Timo Werner,timo werner,FW
18,Serge Gnabry,serge gnabry,FW
19,Nils Petersen,nils petersen,FW
20,Andrej Kramaric,andrei kramaric,FW
21,Emil Forsberg,emil forsberg,FW
22,Ondrej Duda,ondrej duda,FW
23,Mario Götze,mario götze,FW
24,Luka Jovic,luke jovic,FW
25,Milot Rashica,milot rashica,FW
26,Admir Mehmedi,admir mehmedi,FW
27,Marcel Sabitzer,marcel sabitzer,FW
28,Lars Stindl,lars stindle,FW
29,Jean-Philippe Mateta,jean philippe mateta,FW
30,Paco Alcácer,paco alcacer,FW
31,Jean-Paul Boëtius,jean-paul boëtius,FW
32,Leon Bailey,leon bailey,FW
33,Karim Bellarabi,karim bellarabi,FW
34,Ante Rebic,ante rebic,FW
35,Janik Haberer,janik haberer,FW
36,André Hahn,andre hahn,FW
37,Christian Pulisic,christian pulisic,FW
38,Alfred Finnbogason,alfred finnbogason,FW
39,Salomon Kalou,solomon kalou,FW
40,Dodi Lukébakio,dodi lukebakio,FW
41,Karim Onisiwo,karim onisiwo,FW
42,Franck Ribéry,franck ribery,FW
43,Alassane Plea,alassane plea,FW
44,Gian-Luca Waldschmidt,gian luca waldschmidt,FW
45,Breel Embolo,breel embolo,FW
46,Nicolás González,nicolas gonzalez,FW
47,Benito Raman,benito raman,FW
48,Hendrik Weydandt,henrik weydandt,FW
49,Lucas Alario,lucas alario,FW
50,Michael Gregoritsch,michael gregorych,FW
51,Marco Richter,mark richter,FW
52,Ádám Szalai,adam szalai,FW
53,Davie Selke,davie selke,FW
54,Vedad Ibisevic,vedad ibisevic,FW
55,Daniel Ginczek,daniel ginczek,FW
56,Amine Harit,amine harit,FW
57,Rouwen Hennings,rouwen hennings,FW
58,Yuya Osako,yuya osako,FW
59,Robin Quaison,robin quaison,FW
60,Hanno Behrens,hanno behrens,FW
61,Mario Gomez,mario gomez,FW
62,Leonardo Bittencourt,leonardo bittencourt,FW
63,Kenan Karaman,kenankaraman,FW
64,Josip Brekalo,josip brekalo,FW
65,Martin Harnik,martin harnik,FW
66,Daniel Didavi,daniel didavi,FW
67,Patrick Herrmann,patrick herrman,FW
68,Mike Frantz,mike frantz,FW
69,Linton Maina,linton maina,FW
70,Claudio Pizarro,claudio pizarro,FW
71,Mark Uth,mark uth,FW
72,Anastasios Donis,anastasios donis,FW
73,Mikael Ishak,michael ishak,FW
74,Anthony Ujah,anthony ujah,FW
75,Johannes Eggestein,john eggestein,FW
76,Alexander Esswein,alexander esswein,FW
77,Maximilian Philipp,maximilian philip,FW
78,Guido Burgstaller,guido burgstaller,FW
79,Florian Niederlechner,florian niederlechner,FW
80,Sebastian Kerk,sebastian kerk,FW
81,Alexandru Maxim,alexandru maxim,FW
82,Matheus Cunha,matheus cunha,FW
83,Yunus Malli,yunus malli,FW
84,Bobby Wood,bobby wood,FW
85,Jean-Kévin Augustin,jean kevin augustin,FW
86,Federico Palacios,federico palacios,FW
87,Yuya Kubo,yuya kubo,FW
88,Sergio Córdova,sergio cordova,FW
89,Lucas Höler,lucas hoeler,FW
0,Robert Lewandowski,robert lewandowski,FW
1,Timo Werner,timo werner,FW
2,Marco Reus,marco reus,FW
3,Serge Gnabry,serge gnabry,FW
4,Thomas Müller,thomas müller,FW
5,Filip Kostic,filip kostic,FW
6,Christopher Nkunku,christopher nkunku,FW
7,Marcus Thuram,marcus thuram,FW
8,Alassane Plea,alassane plea,FW
9,Kai Havertz,kai havertz,FW
10,Marcel Sabitzer,marcel sabitzer,FW
11,Thorgan Hazard,thorgan hazard,FW
12,Andrej Kramaric,andrei kramaric,FW
13,Kingsley Coman,kingsley coman,FW
14,Kevin Volland,kevin volland,FW
15,Sebastian Andersson,sebastian anderson,FW
16,Bas Dost,bas dost,FW
17,Wout Weghorst,wout weghorst,FW
18,Patrik Schick,patrick schick,FW
19,Julian Brandt,julian brandt,FW
20,Florian Niederlechner,florian niederlechner,FW
21,Milot Rashica,milot rashica,FW
22,Jhon Córdoba,john cordoba,FW
23,Daniel Caligiuri,daniel caligiuri,FW
24,Karim Bellarabi,karim bellarabi,FW
25,Amine Harit,amine harit,FW
26,Ihlas Bebou,ihlas bebou,FW
27,André Silva,andre silva,FW
28,Yussuf Poulsen,yusuf poulsen,FW
29,Robin Quaison,robin quaison,FW
30,Lars Stindl,lars stindle,FW
31,Breel Embolo,breel embolo,FW
32,Nils Petersen,nils petersen,FW
33,Kenan Karaman,kenankaraman,FW
34,Dodi Lukébakio,dodi lukebakio,FW
35,Gonçalo Paciência,gonçalo paciencia,FW
36,Lucas Höler,lucas hoeler,FW
37,Kai Pröger,kai proeger,FW
38,Jean-Paul Boëtius,jean-paul boëtius,FW
39,Yuya Osako,yuya osako,FW
40,Karim Onisiwo,karim onisiwo,FW
41,Vladimír Darida,vladimir darida,FW
42,Ivan Perisic,ivan perisic,FW
43,Patrick Herrmann,patrick herrman,FW
44,Christoph Baumgartner,christopher baumgartner,FW
45,Josip Brekalo,josip brekalo,FW
46,Emil Forsberg,emil forsberg,FW
47,Daichi Kamada,daichi kamada,FW
48,Leon Bailey,leon bailey,FW
49,Rouwen Hennings,rouwen hennings,FW
50,Rubén Vargas,ruben vargas,FW
51,Marius Bülter,marius bülter,FW
52,Lucas Alario,lucas alario,FW
53,Marco Richter,mark richter,FW
54,Roland Sallai,roland sallay,FW
55,Gian-Luca Waldschmidt,gian luca waldschmidt,FW
56,Joshua Sargent,joshua sargent,FW
57,Dennis Srbeny,dennis srbeny,FW
58,Leonardo Bittencourt,leonardo bittencourt,FW
59,Marcus Ingvartsen,marcus ingvartsen,FW
60,Abdelhamid Sabiri,abdelhamid sabiri,FW
61,Admir Mehmedi,admir mehmedi,FW
62,Janik Haberer,janik haberer,FW
63,Benito Raman,benito raman,FW
64,Vedad Ibisevic,vedad ibisevic,FW
65,Streli Mamba,streli mamba,FW
66,Jean-Philippe Mateta,jean philippe mateta,FW
67,Daniel Ginczek,daniel ginczek,FW
68,Anthony Ujah,anthony ujah,FW
69,Sven Michel,sven michael,FW
70,Davie Selke,davie selke,FW
71,Dawid Kownacki,dawid kownacki,FW
72,Anthony Modeste,anthony modest,FW
73,Ádám Szalai,adam szalai,FW
74,Alfred Finnbogason,alfred finnbogason,FW
75,Simon Terodde,simon terodde,FW
76,Guido Burgstaller,guido burgstaller,FW
77,Ahmed Kutucu,ahmed kutucu,FW
78,Rabbi Matondo,rabbi matondo,FW
79,Ben Zolinski,ben zolinski,FW
80,Mike Frantz,mike frantz,FW
81,Claudio Pizarro,claudio pizarro,FW
0,Robert Lewandowski,robert lewandowski,FW
1,Erling Haaland,erling haaland,FW
2,André Silva,andre silva,FW
3,Thomas Müller,thomas müller,FW
4,Matheus Cunha,matheus cunha,FW
5,Wout Weghorst,wout weghorst,FW
6,Filip Kostic,filip kostic,FW
7,Christopher Nkunku,christopher nkunku,FW
8,Leon Bailey,leon bailey,FW
9,Andrej Kramaric,andrei kramaric,FW
10,Serge Gnabry,serge gnabry,FW
11,Silas,silas,FW
12,Kingsley Coman,kingsley coman,FW
13,Marco Reus,marco reus,FW
14,Daniel Caligiuri,daniel caligiuri,FW
15,Sasa Kalajdzic,sasa kalajdzic,FW
16,Lars Stindl,lars stindle,FW
17,Marcel Sabitzer,marcel sabitzer,FW
18,Max Kruse,max kruse,FW
19,Marcus Thuram,marcus thuram,FW
20,Ihlas Bebou,ihlas bebou,FW
21,Dani Olmo,dani olmo,FW
22,Leroy Sané,leroy sane,FW
23,Daichi Kamada,daichi kamada,FW
24,Christoph Baumgartner,christopher baumgartner,FW
25,Ondrej Duda,ondrej duda,FW
26,Ritsu Doan,ritsu doan,FW
27,Amine Harit,amine harit,FW
28,Fabian Klos,fabian klos,FW
29,Josip Brekalo,josip brekalo,FW
30,Alassane Plea,alassane plea,FW
31,Patrik Schick,patrick schick,FW
32,Sheraldo Becker,sheraldo becker,FW
33,André Hahn,andre hahn,FW
34,Jhon Córdoba,john cordoba,FW
35,Yussuf Poulsen,yusuf poulsen,FW
36,Emil Forsberg,emil forsberg,FW
37,Lucas Alario,lucas alario,FW
38,Alexander Sørloth,alexander sorloth,FW
39,Joshua Sargent,joshua sargent,FW
40,Lucas Höler,lucas hoeler,FW
41,Roland Sallai,roland sallay,FW
42,Jean-Paul Boëtius,jean-paul boëtius,FW
43,Vladimír Darida,vladimir darida,FW
44,Breel Embolo,breel embolo,FW
45,Dodi Lukébakio,dodi lukebakio,FW
46,Rubén Vargas,ruben vargas,FW
47,Joel Pohjanpalo,joel pohjanpalo,FW
48,Niclas Füllkrug,niclas filling jug,FW
49,Ermedin Demirovic,ermedin demirovic,FW
50,Leonardo Bittencourt,leonardo bittencourt,FW
51,Maximilian Philipp,maximilian philip,FW
52,Julian Brandt,julian brandt,FW
53,Karim Onisiwo,karim onisiwo,FW
54,Milot Rashica,milot rashica,FW
55,Mark Uth,mark uth,FW
56,Florian Niederlechner,florian niederlechner,FW
57,Luka Jovic,luke jovic,FW
58,Daniel Didavi,daniel didavi,FW
59,Munas Dabbur,munas dabbur,FW
60,Robin Quaison,robin quaison,FW
61,Andreas Voglsammer,andreas voglsammer,FW
62,Taiwo Awoniyi,taiwo awoniyi,FW
63,Marcus Ingvartsen,marcus ingvartsen,FW
64,Tanguy Coulibaly,tanguy coulibaly,FW
65,Philipp Förster,philip foerster,FW
66,Eric Choupo-Moting,eric choupo-moting,FW
67,Krzysztof Piatek,krzysztof piatek,FW
68,Admir Mehmedi,admir mehmedi,FW
69,Jonathan Burkardt,jonathan burkhardt,FW
70,Mateo Klimowicz,mateo klimowicz,FW
71,Karim Bellarabi,karim bellarabi,FW
72,Sargis Adamyan,sargis adamyan,FW
73,Matthew Hoppe,matthew hoppe,FW
74,Jeong Woo-Yeong,jeong woo yeong,FW
75,Marco Richter,mark richter,FW
76,Nils Petersen,nils petersen,FW
77,Sergio Córdova,sergio cordova,FW
78,Patrick Herrmann,patrick herrman,FW
79,Davie Selke,davie selke,FW
80,Michael Gregoritsch,michael gregorych,FW
81,Marius Bülter,marius bülter,FW
82,Cedric Teuchert,cedric teuchert,FW
83,Yuya Osako,yuya osako,FW
84,Jan Thielmann,jan thielmann,FW
85,Ádám Szalai,adam szalai,FW
86,Benito Raman,benito raman,FW
87,Sven Schipplock,sven schipplock,FW
88,Hwang Hee-Chan,hwang hee chan,FW
0,Robert Lewandowski,robert lewandowski,FW
1,Christopher Nkunku,christopher nkunku,FW
2,Erling Haaland,erling haaland,FW
3,Patrik Schick,patrick schick,FW
4,Thomas Müller,thomas müller,FW
5,Serge Gnabry,serge gnabry,FW
6,Marco Reus,marco reus,FW
7,Leroy Sané,leroy sane,FW
8,Kingsley Coman,kingsley coman,FW
9,Filip Kostic,filip kostic,FW
10,Julian Brandt,julian brandt,FW
11,Lucas Höler,lucas hoeler,FW
12,Max Kruse,max kruse,FW
13,Anthony Modeste,anthony modest,FW
14,Omar Marmoush,omar marmoush,FW
15,Donyell Malen,donyell paint,FW
16,Mark Uth,mark uth,FW
17,Andrej Kramaric,andrei kramaric,FW
18,Alassane Plea,alassane plea,FW
19,Chris Führich,chris fuhrich,FW
20,Karim Onisiwo,karim onisiwo,FW
21,Jonathan Burkardt,jonathan burkhardt,FW
22,Daniel Caligiuri,daniel caligiuri,FW
23,Taiwo Awoniyi,taiwo awoniyi,FW
24,Breel Embolo,breel embolo,FW
25,Karim Bellarabi,karim bellarabi,FW
26,Wout Weghorst,wout weghorst,FW
27,Rafael Borré,rafael borre,FW
28,Jesper Lindstrøm,jesper lindstrom,FW
29,Michael Gregoritsch,michael gregorych,FW
30,Thorgan Hazard,thorgan hazard,FW
31,André Silva,andre silva,FW
32,Sheraldo Becker,sheraldo becker,FW
33,Ihlas Bebou,ihlas bebou,FW
34,Lukas Nmecha,luke nmecha,FW
35,Stevan Jovetic,stevan jovetic,FW
36,Lee Jae-Sung,lee jae sung,FW
37,Sebastian Polter,sebastian polter,FW
38,Daichi Kamada,daichi kamada,FW
39,Georginio Rutter,georginio rutter,FW
40,Vladimír Darida,vladimir darida,FW
41,André Hahn,andre hahn,FW
42,Amine Adli,amine adli,FW
43,Christoph Baumgartner,christopher baumgartner,FW
44,Jean-Paul Boëtius,jean-paul boëtius,FW
45,Emil Forsberg,emil forsberg,FW
46,Branimir Hrgota,branimir hrgota,FW
47,Fabian Klos,fabian klos,FW
48,Lars Stindl,lars stindle,FW
49,Yussuf Poulsen,yusuf poulsen,FW
50,Marcus Thuram,marcus thuram,FW
51,Jeong Woo-Yeong,jeong woo yeong,FW
52,Masaya Okugawa,masaya okugawa,FW
53,Eric Choupo-Moting,eric choupo-moting,FW
54,Ishak Belfodil,ishak belfodil,FW
55,Roland Sallai,roland sallay,FW
56,Marco Richter,mark richter,FW
57,Munas Dabbur,munas dabbur,FW
58,Dodi Lukébakio,dodi lukebakio,FW
59,Ondrej Duda,ondrej duda,FW
60,Nils Petersen,nils petersen,FW
61,Maximilian Philipp,maximilian philip,FW
62,Florian Niederlechner,florian niederlechner,FW
63,Rubén Vargas,ruben vargas,FW
64,Jamie Leweling,jamie leveling,FW
65,Philipp Förster,philip foerster,FW
66,Patrick Herrmann,patrick herrman,FW
67,Takuma Asano,takuma asano,FW
68,Marcel Sabitzer,marcel sabitzer,FW
69,Sebastian Andersson,sebastian anderson,FW
70,Andreas Voglsammer,andreas voglsammer,FW
71,Lucas Alario,lucas alario,FW
72,Kevin Behrens,kevin behrens,FW
73,Ermedin Demirovic,ermedin demirovic,FW
74,Jan Thielmann,jan thielmann,FW
75,Janni Serra,janni serra,FW
76,Bryan Lasme,bryan lasme,FW
77,Havard Nielsen,harvard nielsen,FW
78,Tanguy Coulibaly,tanguy coulibaly,FW
79,Marcus Ingvartsen,marcus ingvartsen,FW
80,Andi Zeqiri,andi zeqiri,FW
81,Janik Haberer,janik haberer,FW
82,Davie Selke,davie selke,FW
83,Florian Krüger,florian krueger,FW
84,Robin Hack,robin hack,FW
85,Dickson Abiama,dickson abiama,FW
86,Julian Green,julian green,FW
0,Paul Pogba,paul pogba,M
1,Fernandinho,fernandinho,DMC
2,Christian Eriksen,christian ericsen,M
3,Emre Can,emre can,DMC
4,Aaron Ramsey,aaron ramsay,M
5,Mesut Özil,mesut ozil,M
6,N'Golo Kanté,n'golo kante,DMC
7,Phil Jones,phil jones,DMC
8,Nemanja Matic,nemanja matic,DMC
9,César Azpilicueta,cesar azpilicueta,M
10,Fabian Delph,fabian delphi,M
11,Wilfred Ndidi,wilfred ndidi,DMC
12,Marcos Alonso,marcos alonso,M
13,Nacho Monreal,nacho monreal,M
14,Ashley Young,ashley young,M
15,Ben Davies,ben davies,M
16,Ruben Loftus-Cheek,ruben loftus cheek,M
17,Antonio Valencia,antoniovalencia,M
18,Kyle Walker,kyle walker,M
19,Manuel Lanzini,manuel lanzini,M
20,Kieran Trippier,kieran trippier,M
21,Arthur Masuaku,arthur masuaku,M
22,Jóhann Gudmundsson,johann gudmundsson,AM
23,Andrew Robertson,andrew robertson,M
24,Granit Xhaka,xhaka granite,M
25,Trent Alexander-Arnold,trent alexander arnold,M
26,Luka Milivojevic,luka milivojevic,DMC
27,Willian,willian,AM
28,Abdoulaye Doucouré,abdoulaye doucoure,M
29,Matthew Lowton,matthew lowton,M
30,Eric Dier,eric dier,DMC
31,Idrissa Gueye,idrissa gueye,M
32,Jordan Henderson,jordan henderson,M
33,Mario Lemina,mario lemina,DMC
34,Chris Brunt,chris brunt,M
35,Oriol Romeu,oriole romeu,DMC
36,Sead Kolasinac,sead kolasinac,M
37,Danilo,danilo,DMC
38,Victor Moses,victor moses,M
39,Mousa Dembélé,mousa dembele,M
40,Stephen Ward,stephen ward,M
41,Nathan Aké,nathan aké,DMC
42,Alexander Iwobi,alexander iwobi,M
43,Alex Oxlade Chamberlain,alex oxlade chamberlain,M
44,Junior Stanislas,junior stanislas,M
45,Joe Allen,joe allen,M
46,Jonjoe Kenny,jonjoe kenny,M
47,Xherdan Shaqiri,xherdan shaqiri,M
48,Juan Mata,juan mata,AM
49,Tiemoué Bakayoko,tiemoue bakayoko,DMC
50,Aaron Mooy,aaron mooy,M
51,Pedro Obiang,pedro obiang,DMC
52,Mohamed Diamé,mohammed diame,M
53,Vicente Iborra,vicente iborra,M
54,Mikel Merino,mikel merino,M
55,Kyle Naughton,kyle naughton,M
56,Matt Ritchie,matt ritchie,M
57,Jack Wilshere,jack wilshere,M
58,Joel Ward,joel ward,M
59,Ben Chilwell,ben chilwell,M
60,Christian Fuchs,christian fuchs,M
61,Mark Noble,mark noble,M
62,Cheikhou Kouyaté,cheikhou kouyate,DMC
63,Marc Albrighton,marc albrighton,M
64,Andreas Christensen,andrew christensen,DMC
65,Yohan Cabaye,yohan cabaye,M
66,Patrick van Aanholt,patrick van aanholt,M
67,Dale Stephens,dale stephens,M
68,Héctor Bellerín,hector bellerin,M
69,Georginio Wijnaldum,georginio wijnaldum,M
70,Anthony Knockaert,anthony knockaert,AM
71,James Milner,james milner,M
72,Steven Defour,steven defour,DMC
73,Daryl Janmaat,daryl janmaat,M
74,Jonathan Hogg,jonathan hogg,DMC
75,José Holebas,jose holebas,M
76,Kiko Femenía,kiko femenia,M
77,DeAndre Yedlin,deandre yedlin,M
78,Davy Pröpper,davy proepper,M
79,James McArthur,james mcarthur,M
80,Pablo Zabaleta,pablo zabaleta,M
81,Etienne Capoue,etienne capoue,M
82,Jack Cork,jack cork,DMC
83,Lewis Cook,lewiscook,M
84,Ilkay Gündogan,ilkay gundogan,M
85,Adam Smith,adamsmith,M
86,Leighton Baines,leighton-baines,M
87,Andrew Surman,andrew surman,M
88,Erik Pieters,eric pieters,M
89,Jonjo Shelvey,jonjo shelvey,M
90,Bruno,bruno,M
91,Kieran Gibbs,kieran gibbs,M
92,Aaron Cresswell,aaron cresswell,M
93,Leroy Fer,leroy fer,M
94,Geoff Cameron,geoff cameron,DMC
95,Tom Cleverley,tom cleverley,M
96,Ryan Bertrand,ryan bertrand,M
97,Jeffrey Schlupp,jeffrey schlupp,M
98,Jordon Ibe,jordan ibe,M
99,Charlie Daniels,charlie daniels,M
100,Steven Davis,steven davis,M
101,José Izquierdo,jose izquierdo,AM
102,Grzegorz Krychowiak,grzegorz krychowiak,M
103,André Carrillo,andre carrillo,AM
104,Pierre-Emile Højbjerg,pierre-emile hojbjerg,M
105,Davide Zappacosta,davide zappacosta,M
106,Ki Sung-Yueng,ki sung yueng,DMC
107,Ander Herrera,other herrera,M
108,Solly March,solly march,M
109,James Ward-Prowse,james ward-prowse,M
110,Dan Gosling,dan gosling,M
111,Allan-Roméo Nyom,allan roméo nyom,M
112,Cédric Soares,cedric soares,M
113,Gareth Barry,gareth barry,M
114,Morgan Schneiderlin,morgan schneiderlin,DMC
115,Sam Clucas,sam clucas,M
116,Jake Livermore,jake livermore,DMC
