,name,name2,position
74,Jürgen Locadia,jurgen locadia,FW
75,Charlie Austin,charlie austin,FW
76,Florin Andone,florin andone,FW
77,Kelechi Iheanacho,kelechi iheanacho,FW
78,Laurent Depoitre,laurent depoitre,FW
79,Morgan Gibbs-White,morgan gibbs-white,FW
80,Elias Kachunga,elias kachunga,FW
81,Isaac Mbenza,isaac mbenza,FW
82,Lys Mousset,lys mousset,FW
83,Shinji Okazaki,shinji okazaki,FW
0,Kevin De Bruyne,kevin de bruyne,FW
1,Adama Traoré,adama traore,FW
2,Riyad Mahrez,riyadh mahrez,FW
3,Sadio Mané,sadio mane,FW
4,Mohamed Salah,mohammed salah,FW
5,Raheem Sterling,raheem sterling,FW
6,Marcus Rashford,marcus rashford,FW
7,Harry Kane,harry kane,FW
8,Anthony Martial,anthony martial,FW
9,Michail Antonio,mikhail antonio,FW
10,Allan Saint-Maximin,allan saint maximin,FW
11,David Silva,david silva,FW
12,Gabriel Jesus,gabriel jesus,FW
13,Raúl Jiménez,raul jimenez,FW
14,Son Heung-Min,son heung min,FW
15,Jack Grealish,jack grealish,FW
16,Jamie Vardy,jamie vardy,FW
17,Richarlison,richarlison,FW
18,Christian Pulisic,christian pulisic,FW
19,Sergio Agüero,sergio aguero,FW
20,Roberto Firmino,roberto firmino,FW
21,Danny Ings,danny ings,FW
22,Sébastien Haller,sebastien haller,FW
23,Nicolas Pépé,nicolas pepe,FW
24,Troy Deeney,troy deeney,FW
25,Bernardo Silva,bernardo silva,FW
26,Pierre-Emerick Aubameyang,pierre-emerick aubameyang,FW
27,Wilfried Zaha,wilfred zaha,FW
28,Lucas Moura,lucas mora,FW
29,Nathan Redmond,nathan redmond,FW
30,Felipe Anderson,felipe anderson,FW
31,Jordan Ayew,jordan ayew,FW
32,Alexandre Lacazette,alexandre lacazette,FW
33,Tammy Abraham,tammy abraham,FW
34,Gerard Deulofeu,gerard deulofeu,FW
35,Oliver McBurnie,oliver mcburnie,FW
36,Dele Alli,dele alli,FW
37,Dominic Calvert-Lewin,dominic calvert-lewin,FW
38,Phil Foden,phil foden,FW
39,Christian Benteke,christian benteke,FW
40,David McGoldrick,david mcgoldrick,FW
41,Ayoze Pérez,ayoze perez,FW
42,Joshua King,joshua king,FW
43,Diogo Jota,diogo jota,FW
44,Wesley Moraes,wesley moraes,FW
45,Mason Greenwood,mason greenwood,FW
46,Chris Wood,chris wood,FW
47,Ismaïla Sarr,ismaila sarr,FW
48,Miguel Almirón,miguel almiron,FW
49,Joelinton,joelinton,FW
50,Shane Long,shane long,FW
51,Neal Maupay,neal maupay,FW
52,Gylfi Sigurdsson,gylfi sigurdsson,FW
53,Pascal Groß,pascal gross,FW
54,Kelechi Iheanacho,kelechi iheanacho,FW
55,Giovani Lo Celso,giovanni lo celso,FW
56,Daniel James,danieljames,FW
57,Jay Rodriguez,jay rodriguez,FW
58,Ryan Fraser,ryan fraser,FW
59,Andros Townsend,andros townsend,FW
60,Leandro Trossard,leandro trossard,FW
61,Anwar El Ghazi,anwar el ghazi,FW
62,Teemu Pukki,teemu pukki,FW
63,Sofiane Boufal,sofiane boufal,FW
64,Andriy Yarmolenko,andriy yarmolenko,FW
65,Callum Wilson,callum wilson,FW
66,Onel Hernández,onel hernandez,FW
67,Demarai Gray,demarai gray,FW
68,Dwight Gayle,dwight gayle,FW
69,Lys Mousset,lys mousset,FW
70,Theo Walcott,theo walcott,FW
71,Che Adams,che adams,FW
72,Pedro Neto,pedro neto,FW
73,Divock Origi,divock origi,FW
74,Dominic Solanke,dominic solanke,FW
75,Aaron Connolly,aaron connolly,FW
76,Roberto Pereyra,roberto pereira,FW
77,Michael Obafemi,michael obafemi,FW
78,Billy Sharp,billy sharp,FW
79,Moise Kean,moise kean,FW
80,Jesse Lingard,jesse lingard,FW
81,Glenn Murray,glenn murray,FW
82,Andre Gray,andrew gray,FW
83,Josip Drmic,josip drmic,FW
0,Harry Kane,harry kane,FW
1,Kevin De Bruyne,kevin de bruyne,FW
2,Jack Grealish,jack grealish,FW
3,Sadio Mané,sadio mane,FW
4,Riyad Mahrez,riyadh mahrez,FW
5,Gareth Bale,gareth bale,FW
6,Son Heung-Min,son heung min,FW
7,Raphinha,raphinha,FW
